date,close_year_end,ticker
2014-12-31,24.44744873046875,AAPL
2015-12-31,23.710678100585938,AAPL
2016-12-31,26.669862747192383,AAPL
2017-12-31,39.595237731933594,AAPL
2018-12-31,37.46098327636719,AAPL
2019-12-31,70.78545379638672,AAPL
2020-12-31,129.04661560058594,AAPL
2021-12-31,173.75897216796875,AAPL
2022-12-31,127.8792953491211,AAPL
2023-12-31,190.5504608154297,AAPL
2024-12-31,250.82977294921875,AAPL
2014-12-31,39.5040283203125,MSFT
2015-12-31,48.468238830566406,MSFT
2016-12-31,55.776161193847656,MSFT
2017-12-31,78.49413299560547,MSFT
2018-12-31,94.8172378540039,MSFT
2019-12-31,149.3922576904297,MSFT
2020-12-31,212.934814453125,MSFT
2021-12-31,324.67645263671875,MSFT
2022-12-31,233.68667602539062,MSFT
2023-12-31,369.6719055175781,MSFT
2024-12-31,420.7586975097656,MSFT
2014-12-31,14.827333450317383,TSLA
2015-12-31,16.000667572021484,TSLA
2016-12-31,14.246000289916992,TSLA
2017-12-31,20.75666618347168,TSLA
2018-12-31,22.18666648864746,TSLA
2019-12-31,27.8886661529541,TSLA
2020-12-31,235.22332763671875,TSLA
2021-12-31,352.260009765625,TSLA
2022-12-31,123.18000030517578,TSLA
2023-12-31,248.47999572753906,TSLA
2024-12-31,417.4100036621094,TSLA
